time_vektor,d_15cm,d_30cm,d_50cm,d_100cm,d_200cm
2023-10-19 06:16:38+00:00,8.799001,9.729,10.950001,13.179001,14.400001
2023-10-19 07:17:05+00:00,8.779,9.689,10.9800005,13.160001,14.370001
2023-10-19 08:16:42+00:00,8.75,9.660001,10.950001,13.150001,14.35
2023-10-19 09:16:42+00:00,8.759001,9.589001,10.89,13.129001,14.379001
2023-10-19 10:16:51+00:00,8.820001,9.589001,10.879001,13.109,14.370001
2023-10-19 11:16:45+00:00,8.910001,9.549001,10.870001,13.1,14.379001
2023-10-19 12:16:44+00:00,9.04,9.620001,10.820001,13.080001,14.35
2023-10-19 13:16:43+00:00,9.139001,9.660001,10.799001,13.059001,14.340001
2023-10-19 14:16:38+00:00,9.209001,9.709001,10.790001,13.05,14.330001
2023-10-19 15:16:37+00:00,9.25,9.739,10.759001,13.02,14.359
2023-10-19 16:16:32+00:00,9.299001,9.779,10.77,13.009001,14.35
2023-10-19 17:16:26+00:00,9.27,9.779,10.77,12.990001,14.340001
2023-10-19 18:16:25+00:00,9.259001,9.77,10.7300005,12.97,14.379001
2023-10-19 19:16:36+00:00,9.27,9.799001,10.7300005,12.959001,14.27
2023-10-19 20:16:30+00:00,9.200001,9.77,10.759001,12.940001,14.340001
2023-10-19 21:16:30+00:00,9.189,9.799001,10.7300005,12.929001,14.35
2023-10-19 22:16:28+00:00,9.189,9.790001,10.709001,12.910001,14.340001
2023-10-19 23:16:22+00:00,9.179001,9.799001,10.709001,12.900001,14.300001
2023-10-20 00:16:22+00:00,9.129001,9.790001,10.759001,12.870001,14.290001
2023-10-20 01:16:21+00:00,9.160001,9.77,10.700001,12.859,14.330001
2023-10-20 02:16:15+00:00,9.129001,9.790001,10.669001,12.85,14.300001
2023-10-20 03:16:26+00:00,9.160001,9.75,10.700001,12.830001,14.309001
2023-10-20 04:16:14+00:00,9.080001,9.729,10.660001,12.820001,14.309001
2023-10-20 05:16:18+00:00,9.080001,9.75,10.650001,12.799001,14.259001
